date,channel_search,channel_social,channel_display,channel_video,channel_email,conversions,revenue
2023-01-01,1000,800,500,300,100,52,5200
2023-01-02,1200,850,600,350,120,58,5800
2023-01-03,1100,900,550,325,110,55,5500
2023-01-04,1050,870,525,310,105,54,5400
2023-01-05,950,750,475,290,95,50,5000
2023-01-06,900,700,450,275,90,48,4800
2023-01-07,1300,950,650,400,130,65,6500
2023-01-08,1400,1000,700,425,140,70,7000
2023-01-09,1350,950,675,410,135,68,6800
2023-01-10,1250,900,625,375,125,63,6300
2023-01-11,1150,850,575,350,115,58,5800
2023-01-12,1100,800,550,325,110,55,5500
2023-01-13,1050,750,525,300,105,53,5300
2023-01-14,1500,1100,750,450,150,75,7500
2023-01-15,1600,1200,800,475,160,80,8000
2023-01-16,1550,1150,775,460,155,78,7800
2023-01-17,1450,1100,725,435,145,73,7300
2023-01-18,1350,1050,675,410,135,68,6800
2023-01-19,1300,1000,650,390,130,65,6500
2023-01-20,1250,950,625,375,125,63,6300
2023-01-21,1700,1300,850,510,170,85,8500
2023-01-22,1800,1400,900,540,180,90,9000
2023-01-23,1750,1350,875,525,175,88,8800
2023-01-24,1650,1250,825,500,165,83,8300
2023-01-25,1550,1150,775,470,155,78,7800
2023-01-26,1500,1100,750,450,150,75,7500
2023-01-27,1450,1050,725,435,145,73,7300
2023-01-28,2000,1500,1000,600,200,100,10000
2023-01-29,1900,1450,950,570,190,95,9500
2023-01-30,1800,1350,900,540,180,90,9000
2023-01-31,1700,1300,850,510,170,85,8500
2023-02-01,1600,1200,800,480,160,80,8000
2023-02-02,1500,1150,750,450,150,75,7500
2023-02-03,1400,1050,700,420,140,70,7000
2023-02-04,1900,1400,950,570,190,95,9500
2023-02-05,2100,1550,1050,630,210,105,10500
2023-02-06,2000,1500,1000,600,200,100,10000
2023-02-07,1900,1400,950,570,190,95,9500
2023-02-08,1800,1350,900,540,180,90,9000
2023-02-09,1700,1250,850,510,170,85,8500
2023-02-10,1600,1200,800,480,160,80,8000
2023-02-11,2200,1650,1100,660,220,110,11000
2023-02-12,2400,1800,1200,720,240,120,12000
2023-02-13,2300,1700,1150,690,230,115,11500
2023-02-14,2500,1850,1250,750,250,125,12500
2023-02-15,2200,1650,1100,660,220,110,11000
2023-02-16,2100,1550,1050,630,210,105,10500
2023-02-17,2000,1500,1000,600,200,100,10000
2023-02-18,2700,2000,1350,810,270,135,13500
2023-02-19,2900,2150,1450,870,290,145,14500
2023-02-20,2800,2100,1400,840,280,140,14000
2023-02-21,2600,1950,1300,780,260,130,13000
2023-02-22,2400,1800,1200,720,240,120,12000
2023-02-23,2300,1700,1150,690,230,115,11500
2023-02-24,2200,1650,1100,660,220,110,11000
2023-02-25,3000,2250,1500,900,300,150,15000
2023-02-26,2800,2100,1400,840,280,140,14000
2023-02-27,2600,1950,1300,780,260,130,13000
2023-02-28,2400,1800,1200,720,240,120,12000
2023-03-01,2200,1650,1100,660,220,110,11000
2023-03-02,2000,1500,1000,600,200,100,10000
2023-03-03,1800,1350,900,540,180,90,9000
2023-03-04,2500,1875,1250,750,250,125,12500
2023-03-05,2700,2025,1350,810,270,135,13500
2023-03-06,2600,1950,1300,780,260,130,13000
2023-03-07,2400,1800,1200,720,240,120,12000
2023-03-08,2200,1650,1100,660,220,110,11000
2023-03-09,2000,1500,1000,600,200,100,10000
2023-03-10,1800,1350,900,540,180,90,9000
2023-03-11,2600,1950,1300,780,260,130,13000
2023-03-12,2800,2100,1400,840,280,140,14000
2023-03-13,2700,2025,1350,810,270,135,13500
2023-03-14,2500,1875,1250,750,250,125,12500
2023-03-15,2300,1725,1150,690,230,115,11500
2023-03-16,2100,1575,1050,630,210,105,10500
2023-03-17,1900,1425,950,570,190,95,9500
2023-03-18,2700,2025,1350,810,270,135,13500
2023-03-19,2900,2175,1450,870,290,145,14500
2023-03-20,2800,2100,1400,840,280,140,14000
2023-03-21,2600,1950,1300,780,260,130,13000
2023-03-22,2400,1800,1200,720,240,120,12000
2023-03-23,2200,1650,1100,660,220,110,11000
2023-03-24,2000,1500,1000,600,200,100,10000
2023-03-25,3000,2250,1500,900,300,150,15000
2023-03-26,3200,2400,1600,960,320,160,16000
2023-03-27,3100,2325,1550,930,310,155,15500
2023-03-28,2900,2175,1450,870,290,145,14500
2023-03-29,2700,2025,1350,810,270,135,13500
2023-03-30,2500,1875,1250,750,250,125,12500
2023-03-31,2300,1725,1150,690,230,115,11500